count,name
1,part_column=1940-03MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
5,part_column=1940-05MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
20,part_column=1940-06MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
1,part_column=1940-07FEMALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
7,part_column=1940-07MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
3,part_column=1940-08FEMALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
26,part_column=1940-08MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
1,part_column=1940-09MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
8,part_column=1940-10MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
1,part_column=1940-11MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
3,part_column=1940-12FEMALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
11,part_column=1941-01FEMALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
11,part_column=1941-01MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
1,part_column=1941-02FEMALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
1,part_column=1941-02MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
3,part_column=1941-03FEMALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
3,part_column=1941-03MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
20,part_column=1941-04MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
1,part_column=1941-05MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
3,part_column=1941-06MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
2,part_column=1941-07MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
2,part_column=1941-08FEMALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
1,part_column=1941-08MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
1,part_column=1941-09MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
3,part_column=1941-10FEMALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
7,part_column=1941-10MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
22,part_column=1941-11FEMALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
12,part_column=1941-12MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
3,part_column=1942-01FEMALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
32,part_column=1942-01MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
2,part_column=1942-02FEMALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
25,part_column=1942-02MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
2,part_column=1942-03FEMALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
19,part_column=1942-03MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
8,part_column=1942-04MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
3,part_column=1942-05FEMALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
32,part_column=1942-05MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
1,part_column=1942-06FEMALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
3,part_column=1942-06MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
2,part_column=1942-07FEMALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
38,part_column=1942-07MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
1,part_column=1942-08FEMALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
1,part_column=1942-08MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
2,part_column=1942-09MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
3,part_column=1942-10FEMALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
35,part_column=1942-10MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
1,part_column=1942-11FEMALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
51,part_column=1942-11MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
3,part_column=1942-12MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
7,part_column=1943-01FEMALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
19,part_column=1943-01MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
8,part_column=1943-02MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
39,part_column=1943-03FEMALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
16,part_column=1943-03MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
15,part_column=1943-04FEMALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
5,part_column=1943-04MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
8,part_column=1943-05MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
6,part_column=1943-06FEMALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
28,part_column=1943-06MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
22,part_column=1943-07MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
29,part_column=1943-08FEMALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
15,part_column=1943-08MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
2,part_column=1943-09FEMALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
8,part_column=1943-09MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
39,part_column=1943-10MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
24,part_column=1943-11MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
6,part_column=1943-12MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
7,part_column=1944-01FEMALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
33,part_column=1944-01MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
1,part_column=1944-02FEMALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
12,part_column=1944-02MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
11,part_column=1944-03MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
